Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Bethel (MN),Bethel University,Sidearm,https://bethelthreshers.com/sports/womens-soccer,https://bethelthreshers.com/sports/mens-soccer
Carleton,Carleton College,Sidearm,https://goravens.ca/teams/womens-soccer/,https://northcentralcardinals.com/sports/mens-soccer/opponent-history/carleton-college/57
Concordia-M'head,Concordia College-Moorhead,PrestoSports,https://cspbears.com/sports/womens-soccer/archives,https://www.cobbermenssoccercamps.com/
Gust. Adolphus,Gustavus Adolphus College,Sidearm,https://gogusties.com/sports/womens-soccer,https://goforesters.com/sports/mens-soccer/opponent-history/gustavus-adolphus-college/33
Hamline,Hamline University,Sidearm,https://hamlineathletics.com/sports/womens-soccer,https://menssoccer.hamlinesportscamps.com/
Macalester,Macalester College,Sidearm,https://athletics.macalester.edu/sports/womens-soccer,https://athletics.macalester.edu/news/2024/6/24/mens-soccer-mens-soccer-macalester-kicks-off-2024-campaign-aug-30.aspx
Saint Mary's (Minn.),Saint Mary's University (Minn.),Sidearm,https://saintmaryssports.com/sports/womens-soccer,https://mountathletics.com/sports/mens-soccer
St. John's (MN),St. John's University (Minn.),Sidearm,https://redstormsports.com/sports/womens-soccer?path=wsoc,https://redstormsports.com/sports/mens-soccer
St. Olaf,St. Olaf College,Sidearm,https://athletics.stolaf.edu/sports/womens-soccer,https://athletics.uchicago.edu/news/2024/9/1/-7-mens-soccer-knocks-off-top-ranked-st-olaf.aspx
St. Scholastica,College of St. Scholastica,Sidearm,https://uwlathletics.com/sports/womens-soccer/stats/2024/college-of-st-scholastica-minn-/boxscore/7651,https://csssaints.com/sports/mens-soccer
Saint-Mary's (IN),Saint Mary's College (IN),Sidearm,https://smcmathletics.com/sports/womens-soccer/archives,https://rattlerathletics.com/sports/mens-soccer
St. Catherine,St. Catherine University,Sidearm,https://uskathletics.com/sports/womens-soccer,None
William Smith,William Smith College,Sidearm,https://hwsathletics.com/sports/womens-soccer,https://hwsathletics.com/sports/mens-soccer
Meredith,Meredith College,Sidearm,https://goavengingangels.com/sports/womens-soccer/stats,None
Salem,Salem College,Sidearm,https://salemspirits.com/sports/womens-soccer/archives,https://salemtigers.com/sports/mens-soccer
Bay Path,Bay Path University,PrestoSports,https://nicholsathletics.com/sports/womens-soccer/opponent-history/bay-path-university/30,None
Gallaudet,Gallaudet University,Sidearm,https://gallaudetbison.com/sports/womens-soccer,https://gallaudet.edu/mens-soccer-vs-alfred-st/
Trinity Washington,Trinity Washington University,Sidearm,https://lulions.com/sports/womens-soccer/opponent-history/trinity-washington-university/208,None
Mt. Mary,Mount Mary College,PrestoSports,https://mountmartyathletics.com/sports/womens-soccer,https://mountmartyathletics.com/sports/mens-soccer
Connecticut Col.,Connecticut College,Sidearm,https://camelathletics.com/sports/womens-soccer,https://athletics.amherst.edu/news/2023/10/3/mens-soccer-no-21-conn-coll-edges-22-mammoths-with-goal-in-closing-minutes-3-2.aspx
Trinity (CT),Trinity College (CT),Sidearm,https://bantamsports.com/sports/womens-soccer,https://www.trincoll.edu/bicentennial/stories/mens-soccer/
Wesleyan (CT),Wesleyan University,Sidearm,https://nwusports.com/sports/womens-soccer,https://swuathletics.com/sports/mens-soccer
Bates,Bates College,Sidearm,https://gobatesbobcats.com/sports/womens-soccer,https://gobatesbobcats.com/sports/mens-soccer
Bowdoin,Bowdoin College,Sidearm,https://athletics.bowdoin.edu/sports/womens-soccer,https://colbyathletics.com/sports/mens-soccer/opponent-history/bowdoin-college/1
Colby,Colby College,Sidearm,https://colbyathletics.com/sports/womens-soccer,https://colbyathletics.com/sports/mens-soccer
Tufts,Tufts University,Sidearm,https://gotuftsjumbos.com/sports/womens-soccer,https://gotuftsjumbos.com/sports/mens-soccer
